head_id	head_name	relation	tail_id	tail_name	confidence	source
3470	Definition:Synthetic Sub-Basis	applied_in	8764	Equivalence of Definitions of Topology Generated by Synthetic Sub-Basis	0.7	proof_def_link
13341	Definition:Natural Numbers	applied_in	2102	Union of Primitive Recursive Sets	0.7	proof_def_link
6004	Definition:Divisor of Integer	applied_in	21926	Products of Consecutive Integers in 2 Ways	0.7	proof_def_link
5452	Definition:Reduced Quadratic Irrational	applied_in	2000	Continued Fraction Expansion of Irrational Square Root	0.7	proof_def_link
1438	Definition:Bisection	applied_in	14860	Construction of Regular Octahedron within Given Sphere	0.7	proof_def_link
7811	Definition:Infinite	applied_in	4816	Point in Open Set of Particular Point Space is not Omega-Accumulation Point	0.7	proof_def_link
1420	Definition:Triangle (Geometry)	applied_in	11248	Area of Regular Polygon	0.7	proof_def_link
7118	Definition:Order Topology	applied_in	10171	Equivalence of Definitions of Generalized Ordered Space/Definition 2 implies Definition 1	0.7	proof_def_link
302	Definition:Injection	applied_in	9593	Continuous Injection of Interval is Strictly Monotone	0.7	proof_def_link
452	Definition:Invertible Element	applied_in	3386	Product of Commuting Elements with Inverses	0.7	proof_def_link
20248	Definition:Fibonacci Numbers	applied_in	19231	Pythagorean Triangle from Fibonacci Numbers	0.7	proof_def_link
1671	Definition:Parallelogram	applied_in	14650	Second Bimedial is Irrational	0.7	proof_def_link
1320	Definition:Complex Number	applied_in	25660	Diameters of Parallelogram Bisect each other/Proof 2	0.7	proof_def_link
110	Definition:Abelian Group	applied_in	18675	Inversion Mapping is Automorphism iff Group is Abelian	0.7	proof_def_link
5786	Definition:Strictly Positive Integer	applied_in	173	Euler's Number is Irrational	0.7	proof_def_link
1820	Definition:Area	applied_in	14826	Areas of Circles are as Squares on Diameters/Lemma	0.7	proof_def_link
20	Definition:Element	applied_in	8001	Condition for Power Set to be Totally Ordered	0.7	proof_def_link
2497	Definition:Number Base	applied_in	24188	Non-Divisbility of Binomial Coefficients of n by Prime	0.7	proof_def_link
27497	Definition:Matroid	applied_in	27586	Free Matroid is Matroid	0.7	proof_def_link
3761	Definition:Arc of Circle	applied_in	14842	Construction of Polyhedron in Outer of Concentric Spheres	0.7	proof_def_link
23740	Definition:Leibniz Law	applied_in	14444	Tangent Space is Vector Space	0.7	proof_def_link
6004	Definition:Divisor of Integer	applied_in	11989	Integer Less One divides Power Less One	0.7	proof_def_link
747	Definition:Sequence	applied_in	25209	Sequence is Bounded in Norm iff Bounded in Metric/Sufficient Condition	0.7	proof_def_link
12542	Definition:Contradiction	applied_in	27423	Closed Balls Centered on P-adic Number is Countable/Lemma	0.7	proof_def_link
1209	Definition:Plane	applied_in	17302	Equivalence of Definitions of Conic Section	0.7	proof_def_link
12675	Definition:Orthogonal Matrix	applied_in	18605	Unit Matrix is Proper Orthogonal	0.7	proof_def_link
361	Definition:Ordering	applied_in	6514	Greatest Element is Maximal	0.7	proof_def_link
1309	Definition:Continuity	applied_in	20283	Nonnegative Quadratic Functional implies no Interior Conjugate Points	0.7	proof_def_link
103	Definition:By Hypothesis	applied_in	24992	Cauchy's Lemma (Group Theory)/Proof 1	0.7	proof_def_link
4900	Definition:Limit Ordinal	applied_in	4887	Field of Uncountable Cardinality K has Transcendence Degree K	0.7	proof_def_link
14915	Definition:Apex of Pyramid	applied_in	17318	Volume of Sphere from Surface Area	0.7	proof_def_link
2542	Definition:Component of Graph	applied_in	2594	Number of Components after Removal of Bridge	0.7	proof_def_link
