head_id	head_name	relation	tail_id	tail_name	confidence	source
861	Definition:Real Number	equivalent_to	19601	Definition:Functional/Real	0.9	equiv_section
7766	Definition:Pendant Vertex	equivalent_to	2329	Definition:Tree (Graph Theory)	0.9	equiv_section
2269	Definition:Parsing Sequence	equivalent_to	10228	Definition:Labeled Tree	0.9	equiv_section
1581	Definition:Radius of Convergence	equivalent_to	9941	Radius of Convergence from Limit of Sequence/Real Case	0.9	equiv_section
15324	Definition:System of Neighborhoods at Point	equivalent_to	15301	Definition:Neighborhood Filter/Point	0.9	equiv_section
13573	Definition:Minimally Inductive Set	equivalent_to	15521	Definition:Finite Ordinal	0.9	equiv_section
4659	Definition:Triangle Inequality	equivalent_to	21615	Definition:Field Norm of Complex Number	0.9	equiv_section
3435	Union of Empty Set	equivalent_to	15693	Definition:Indexed Family of Sets	0.9	equiv_section
8288	Definition:Category of Ordered Sets	equivalent_to	3352	Definition:Ordered Set	0.9	equiv_section
9718	Definition:Bounded Lattice	equivalent_to	9714	Definition:Lattice (Order Theory)	0.9	equiv_section
3353	Definition:Hasse Diagram	equivalent_to	6335	Zassenhaus Lemma	0.9	equiv_section
11382	Definition:Cartesian Plane	equivalent_to	11385	Definition:Cartesian Plane/Ordered Pair	0.9	equiv_section
3352	Definition:Ordered Set	equivalent_to	8288	Definition:Category of Ordered Sets	0.9	equiv_section
3853	Definition:Cycle Type	equivalent_to	319	Definition:Permutation	0.9	equiv_section
309	Definition:Inclusion Mapping	equivalent_to	15403	Definition:Abstract Algebra	0.9	equiv_section
7116	Definition:Strict Upper Closure	equivalent_to	7117	Definition:Upper Closure/Element	0.9	equiv_section
5106	Definition:Class (Class Theory)	equivalent_to	8557	Definition:Class of Infinite Cardinals	0.9	equiv_section
8318	Definition:Order Category	equivalent_to	3352	Definition:Ordered Set	0.9	equiv_section
30	Definition:Statement	equivalent_to	126	Definition:Relation	0.9	equiv_section
27391	Definition:Culmination	equivalent_to	16271	Definition:Astronomy	0.9	equiv_section
140	Definition:Commutative Semigroup	equivalent_to	110	Definition:Abelian Group	0.9	equiv_section
9770	Definition:Dual Ordering	equivalent_to	361	Definition:Ordering	0.9	equiv_section
11393	Definition:Formal Language	equivalent_to	11906	Definition:Literal	0.9	equiv_section
16478	Definition:Boolean Value	equivalent_to	9989	Definition:Truth Value/Aristotelian Logic	0.9	equiv_section
19891	Definition:Big-O Notation/Also known as	equivalent_to	5868	Definition:Little-O Notation	0.9	equiv_section
21753	Definition:Real Analytic Function	equivalent_to	5908	Definition:Analytic Function/Real Numbers	0.9	equiv_section
7117	Definition:Upper Closure/Element	equivalent_to	7116	Definition:Strict Upper Closure	0.9	equiv_section
11801	Definition:Associate/Integers	equivalent_to	11809	Definition:Associate of Integer	0.9	equiv_section
580	Definition:Ring Zero	equivalent_to	9062	Definition:Number Field	0.9	equiv_section
16786	Definition:Radioactive Decay/Stable	equivalent_to	16759	Definition:Chemical Element	0.9	equiv_section
18738	Definition:Payoff Table	equivalent_to	18760	Definition:Payoff Table/Entry	0.9	equiv_section
885	Definition:Real Function	equivalent_to	3239	Definition:Differentiability Class	0.9	equiv_section
2392	Definition:Free Occurrence	equivalent_to	2395	Definition:Free Variable	0.9	equiv_section
5892	Definition:Strictly Decreasing Mapping	equivalent_to	5883	Definition:Strictly Decreasing/Mapping	0.9	equiv_section
3812	Definition:Right Transversal	equivalent_to	6194	Definition:Transversal (Group Theory)/Right Transversal	0.9	equiv_section
16451	Definition:Singular Statement/Designatory Function	equivalent_to	16450	Definition:Designatory Function	0.9	equiv_section
3504	Definition:Closed Mapping	equivalent_to	8852	Definition:Closed under Mapping	0.9	equiv_section
7325	Definition:Integral of Positive Measurable Function	equivalent_to	2260	Definition:Argument	0.9	equiv_section
16266	Definition:Mechanics	equivalent_to	19873	Definition:Canonical Variable	0.9	equiv_section
19	Definition:Set	equivalent_to	19601	Definition:Functional/Real	0.9	equiv_section
18820	Definition:Payoff Function	equivalent_to	18793	Definition:Utility Function	0.9	equiv_section
15795	Definition:Alexandroff Extension	equivalent_to	9991	Definition:Compactification	0.9	equiv_section
16432	Definition:Union of Set of Sets	equivalent_to	8132	Limit Ordinal Equals its Union	0.9	equiv_section
8681	Definition:Object (Category Theory)	equivalent_to	5108	Definition:Metagraph	0.9	equiv_section
30	Definition:Statement	equivalent_to	31	Definition:Proposition	0.9	equiv_section
20553	Definition:Uniform Absolute Convergence of Product	equivalent_to	1677	Definition:Uniform Convergence	0.9	equiv_section
9430	Definition:Category with Products	equivalent_to	9358	Definition:Product (Category Theory)/General Definition	0.9	equiv_section
9358	Definition:Product (Category Theory)/General Definition	equivalent_to	9430	Definition:Category with Products	0.9	equiv_section
20625	Definition:Normed Division Ring	equivalent_to	25583	Definition:Topology Induced by Division Ring Norm	0.9	equiv_section
3291	Definition:Linear Operator	equivalent_to	6729	Definition:Finite Rank Operator	0.9	equiv_section
23681	Definition:Ring Action	equivalent_to	23680	Definition:Linear Ring Action	0.9	equiv_section
3393	Definition:Null String	equivalent_to	2236	Definition:Word (Formal Systems)	0.9	equiv_section
