head_id,head_name,relation,tail_id,tail_name
2,Schur-Zassenhaus Theorem,depends_on,15268,Frattini's Argument
2,Schur-Zassenhaus Theorem,depends_on,21398,Center is Characteristic Subgroup
2,Schur-Zassenhaus Theorem,depends_on,21395,Characteristic Subgroup of Normal Subgroup is Normal
2,Schur-Zassenhaus Theorem,equivalent_to,16357,Definition:Ramsey Theory
5,Fundamental Theorem of Arithmetic,depends_on,25553,Prime Decomposition of Integer is Unique
5,Fundamental Theorem of Arithmetic,equivalent_to,3678,Euclidean Domain is UFD
19,Definition:Set,applied_in,2,Schur-Zassenhaus Theorem
19,Definition:Set,applied_in,184,Set Difference and Intersection form Partition/Corollary 2
19,Definition:Set,applied_in,228,Equality of Relations
19,Definition:Set,applied_in,258,Relation Symmetry
19,Definition:Set,applied_in,263,Symmetric Transitive and Serial Relation is Reflexive
19,Definition:Set,applied_in,327,Inverse of Permutation is Permutation
19,Definition:Set,applied_in,331,Set Equivalence behaves like Equivalence Relation
19,Definition:Set,applied_in,343,Projection is Surjection
19,Definition:Set,applied_in,345,Quotient Mapping is Surjection
19,Definition:Set,applied_in,359,Set is Equivalent to Proper Subset of Power Set
19,Definition:Set,applied_in,402,Order Embedding into Image is Isomorphism
19,Definition:Set,applied_in,450,Cancellable Elements of Monoid form Submonoid
19,Definition:Set,applied_in,461,Regular Representation of Invertible Element is Permutation
19,Definition:Set,applied_in,464,Invertible Elements of Monoid form Subgroup of Cancellable Elements
19,Definition:Set,applied_in,525,Exists Bijection to a Disjoint Set
19,Definition:Set,applied_in,526,Embedding Theorem
19,Definition:Set,applied_in,546,Identity Mapping is Automorphism
19,Definition:Set,applied_in,674,Correspondence Theorem (Group Theory)
19,Definition:Set,applied_in,683,Normalizer of Center is Group
19,Definition:Set,applied_in,728,Equality of Natural Numbers
19,Definition:Set,applied_in,751,General Operation from Binary Operation
19,Definition:Set,applied_in,758,Strictly Increasing Sequence on Ordered Set
19,Definition:Set,applied_in,760,General Commutativity Theorem
19,Definition:Set,applied_in,792,Cardinality of Cartesian Product of Finite Sets
19,Definition:Set,applied_in,797,Principle of Least Counterexample
19,Definition:Set,applied_in,844,Set of Divisors of Integer
19,Definition:Set,applied_in,946,Smallest Normal Subgroup containing Set
19,Definition:Set,applied_in,1023,Symmetry Group is Group
19,Definition:Set,applied_in,1093,Second Sylow Theorem
19,Definition:Set,applied_in,1097,Finite Submodule of Function Space
19,Definition:Set,applied_in,1101,Generated Submodule is Linear Combinations
19,Definition:Set,applied_in,1137,Dimension of Set of Linear Transformations
19,Definition:Set,applied_in,1165,Vector Space has Basis Between Linearly Independent Set and Finite Spanning Set
19,Definition:Set,applied_in,1291,Intersection of All Division Subrings is Prime Subfield
19,Definition:Set,applied_in,1372,Degree Equation
19,Definition:Set,applied_in,1403,Limsup and Liminf are Limits of Bounds
19,Definition:Set,applied_in,1479,Forward-Backward Induction
19,Definition:Set,applied_in,1541,Vitali Set Existence Theorem/Proof 2
19,Definition:Set,applied_in,1564,Countable Set has Measure Zero
19,Definition:Set,applied_in,1727,Compact First-Countable Space is Sequentially Compact
19,Definition:Set,applied_in,1741,Sequentially Compact Metric Space is Lindelöf
19,Definition:Set,applied_in,1825,Real Multiplication is Well-Defined
19,Definition:Set,applied_in,1833,Rational Numbers form Metric Space
19,Definition:Set,applied_in,1907,Product Form of Sum on Completely Multiplicative Function
19,Definition:Set,applied_in,1931,Solution of Linear Diophantine Equation
19,Definition:Set,applied_in,2094,Primitive Recursive Set is URM Computable
19,Definition:Set,applied_in,2119,Unique Code for URM Instruction
19,Definition:Set,applied_in,2122,Unique Code for URM Program
19,Definition:Set,applied_in,2123,URM Computable Functions of One Variable is Countably Infinite
19,Definition:Set,applied_in,2124,Natural Number Functions are Uncountable
19,Definition:Set,applied_in,2131,Prime Enumeration Function is Primitive Recursive
19,Definition:Set,applied_in,2212,Subset Relation on Power Set is Partial Ordering
19,Definition:Set,applied_in,2364,Finished Set Lemma
19,Definition:Set,applied_in,2445,Measurable Sets form Sigma-Algebra
19,Definition:Set,applied_in,2456,Construction of Outer Measure
19,Definition:Set,applied_in,2489,Empty Set Disjoint with Itself
19,Definition:Set,applied_in,2597,Cayley's Formula
19,Definition:Set,applied_in,2620,Number of Hamilton Cycles in Complete Graph
19,Definition:Set,applied_in,2698,Intersection of Transitive Relations is Transitive
19,Definition:Set,applied_in,2737,Intersection of Rings of Sets
19,Definition:Set,applied_in,2960,Equivalence of Definitions of Congruence
19,Definition:Set,applied_in,3018,Set of Prime Numbers is Infinite/Proof 2
19,Definition:Set,applied_in,3098,Power Set is Sigma-Algebra
19,Definition:Set,applied_in,3338,Diagonal Relation is Many-to-One
19,Definition:Set,applied_in,3363,Cantor-Bernstein-Schröder Theorem/Proof 3
19,Definition:Set,applied_in,3366,Dominance Relation is Ordering
19,Definition:Set,equivalent_to,3370,Definition:Set of Sets
19,Definition:Set,applied_in,3435,Union of Empty Set
19,Definition:Set,applied_in,3461,Topology Defined by Closed Sets
19,Definition:Set,applied_in,3464,Complement of F-Sigma Set is G-Delta Set
19,Definition:Set,applied_in,3585,Quotient Group is Group
19,Definition:Set,applied_in,3798,Count of Binary Operations with Fixed Identity
19,Definition:Set,applied_in,3907,Cardinality of Set of Strictly Increasing Mappings
19,Definition:Set,applied_in,4065,Polynomial Addition is Associative
19,Definition:Set,applied_in,4066,Null Polynomial is Additive Identity
19,Definition:Set,applied_in,4069,Polynomials Contain Multiplicative Identity
19,Definition:Set,applied_in,4071,Multiplication of Polynomials Distributes over Addition
19,Definition:Set,applied_in,4085,Completion Theorem (Metric Space)
19,Definition:Set,applied_in,4163,One Succeeds Zero in Well-Ordered Integral Domain
19,Definition:Set,applied_in,4183,Cauchy's Residue Theorem
19,Definition:Set,applied_in,4264,Set Closure as Intersection of Closed Sets
19,Definition:Set,applied_in,4265,Set Closure is Smallest Closed Set/Topology
19,Definition:Set,applied_in,4284,Continuous Image of Separable Space is Separable
19,Definition:Set,applied_in,4343,Separation Properties Preserved under Expansion
19,Definition:Set,applied_in,4359,Compact Space satisfies Finite Intersection Axiom
19,Definition:Set,applied_in,4366,Countably Compact Space satisfies Countable Finite Intersection Axiom
19,Definition:Set,applied_in,4373,Countably Compact Space is Pseudocompact
19,Definition:Set,applied_in,4426,Metacompact Countably Compact Space is Compact
19,Definition:Set,applied_in,4450,Cluster Point of Ultrafilter is Unique
19,Definition:Set,applied_in,4486,Countable Product of Separable Spaces is Separable
19,Definition:Set,applied_in,4503,Quasicomponent is Intersection of Clopen Sets
19,Definition:Set,equivalent_to,4593,Definition:Hom Class
19,Definition:Set,applied_in,4608,Zero Dimensional Space is T3
19,Definition:Set,applied_in,4705,Discrete Space is First-Countable
19,Definition:Set,applied_in,4707,Discrete Space is Paracompact
19,Definition:Set,applied_in,4718,Uncountable Discrete Space is not Lindelöf
