head_id	head_name	relation	tail_id	tail_name	confidence	source
14141	Primitive of Hyperbolic Sine of a x	depends_on	13494	Primitive of Function of Constant Multiple	0.75	proof_link
23448	Integral Operator is Linear/Corollary 1	depends_on	23447	Integral Operator is Linear	0.75	proof_link
7053	Uniqueness of Measures/Proof 1	depends_on	6971	Characterization of Measures	0.75	proof_link
22484	Analytic Continuations of Riemann Zeta Function to Complex Plane	depends_on	1988	Analytic Continuation of Riemann Zeta Function	0.75	proof_link
26766	Characterization of Exponential Integral Function/Formulation 1	depends_on	19285	Definite Integral to Infinity of Exponential of -x by Logarithm of x	0.75	proof_link
19802	Necessary Condition for Integral Functional to have Extremum for given Function/Dependent on Nth Derivative of Function	depends_on	13545	Generalized Integration by Parts	0.75	proof_link
7244	Generators for Extended Real Sigma-Algebra	depends_on	6888	Sigma-Algebra Closed under Countable Intersection	0.75	proof_link
15763	Kuratowski's Closure-Complement Problem/Interior of Closure	depends_on	15779	Interior of Singleton in Real Number Line is Empty	0.75	proof_link
24929	Symmetry Group of Line Segment is Group	depends_on	2720	Axiom:Group Axioms	0.75	proof_link
20234	Neighborhood in Compact Hausdorff Space Contains Compact Neighborhood	depends_on	1747	Closed Subspace of Compact Space is Compact	0.75	proof_link
4127	Strictly Positive Real Numbers are Closed under Division	depends_on	3616	Strictly Positive Real Numbers under Multiplication form Uncountable Abelian Group	0.75	proof_link
20216	Even Perfect Number is Hexagonal	depends_on	1867	Theorem of Even Perfect Numbers	0.75	proof_link
14509	Powers of Elements of Geometric Sequence are in Geometric Sequence	depends_on	14945	Form of Geometric Sequence of Integers	0.75	proof_link
12774	Hyperbolic Tangent of Sum	depends_on	12771	Hyperbolic Cosine of Sum	0.75	proof_link
7673	Linear Transformation Maps Zero Vector to Zero Vector/Proof 2	depends_on	7478	Axiom:Vector Space Axioms	0.75	proof_link
16720	Equations of Motion with Constant Acceleration/Distance after Time	depends_on	16719	Equations of Motion with Constant Acceleration/Velocity after Time	0.75	proof_link
8275	Matrix Similarity is Equivalence Relation/Proof 1	depends_on	1250	Matrix Equivalence is Equivalence Relation	0.75	proof_link
14228	Primitive of x over Hyperbolic Cosine of a x plus 1	depends_on	14143	Primitive of Hyperbolic Tangent of a x	0.75	proof_link
11574	Tangent of 105 Degrees	depends_on	11567	Tangent of Angle plus Right Angle	0.75	proof_link
27312	Integers are Dense in P-adic Integers/Unit Ball	depends_on	12732	Zeroth Power of Real Number equals One	0.75	proof_link
6280	Argument of Product equals Sum of Arguments	depends_on	11683	Sine of Angle plus Full Angle	0.75	proof_link
18934	Difference between Adjacent Convergents But One of Simple Continued Fraction	depends_on	18933	Difference between Adjacent Convergents of Simple Continued Fraction	0.75	proof_link
13169	Product of Cotangents of Fractions of Pi	depends_on	11566	Cotangent of Complement equals Tangent	0.75	proof_link
984	Internal Group Direct Product Isomorphism	depends_on	983	Subgroup Product is Internal Group Direct Product iff Surjective	0.75	proof_link
22474	Upper Bound for Abscissa of Absolute Convergence of Product of Dirichlet Series	depends_on	22473	Dirichlet Series of Convolution of Arithmetic Functions	0.75	proof_link
3862	Leibniz's Formula for Pi/Elementary Proof	depends_on	1533	Relative Sizes of Definite Integrals	0.75	proof_link
17117	Topological Subspace of Real Number Line is Lindelöf	depends_on	8626	Cardinal Product Equal to Maximum	0.75	proof_link
26913	Exists Divisor in Set of n+1 Natural Numbers no greater than 2n	depends_on	26902	Equivalence Relation on Natural Numbers such that Quotient is Power of Two/Equivalence Class Contains 1 Odd Number	0.75	proof_link
18069	Derivative of Natural Logarithm Function/Proof 4	depends_on	13548	Derivative of Nth Root	0.75	proof_link
19140	Subset is Compatible with Ordinal Addition	depends_on	19139	Subset is Left Compatible with Ordinal Addition	0.75	proof_link
3205	Derivatives of PGF of Shifted Geometric Distribution	depends_on	3187	Probability Generating Function of Shifted Geometric Distribution	0.75	proof_link
1069	Conjugate Permutations have Same Cycle Type	depends_on	893	Product of Conjugates equals Conjugate of Products	0.75	proof_link
24249	Sum over k of n Choose k by x to the k by kth Harmonic Number/x = -1	depends_on	7423	Binomial Coefficient with Zero	0.75	proof_link
4560	Sequence of Implications of Connectedness Properties	depends_on	4562	Irreducible Space is Connected	0.75	proof_link
17446	Mellin Transform of Heaviside Step Function/Lemma	depends_on	26370	Sequence of Powers of Reciprocals is Null Sequence/Real Index	0.75	proof_link
10447	Closed Elements Uniquely Determine Closure Operator	depends_on	10446	Closure is Smallest Closed Successor	0.75	proof_link
21108	Divisor Count of 27	depends_on	1882	Divisor Count Function of Power of Prime	0.75	proof_link
19160	Number of Binary Digits in Power of 10	depends_on	849	Basis Representation Theorem	0.75	proof_link
7399	Integral of Positive Simple Function is Increasing	depends_on	7254	Pointwise Sum of Simple Functions is Simple Function	0.75	proof_link
14273	Derivative of Real Area Hyperbolic Cosecant of x over a	depends_on	13482	Derivative of Inverse Hyperbolic Cosecant	0.75	proof_link
24596	Hyperbolic Sine of Complex Number/Proof 1	depends_on	12769	Hyperbolic Sine of Sum	0.75	proof_link
23800	Sum of Sequence of Products of Squares of Consecutive Odd Reciprocals	depends_on	23784	Sum of Sequence of Products of Consecutive Odd Reciprocals	0.75	proof_link
14615	Construction of Incommensurable Lines	depends_on	15365	Construction of Incommensurable Lines/Lemma	0.75	proof_link
21300	Filters form Complete Lattice	depends_on	9818	Dual Pairs (Order Theory)	0.75	proof_link
11040	Logarithmic Integral as Non-Convergent Series	depends_on	1650	Derivative of Function to Power of Function	0.75	proof_link
16859	Boundary of Union is Subset of Union of Boundaries	depends_on	162	Intersection is Subset	0.75	proof_link
14836	Volume of Cones or Cylinders of Same Height are in Same Ratio as Bases	depends_on	15428	Square Inscribed in Circle is greater than Half Area of Circle	0.75	proof_link
759	Fundamental Principle of Counting	depends_on	740	Isomorphism to Closed Interval	0.75	proof_link
10067	Triangle is Convex Set	depends_on	10407	Characterization of Interior of Triangle	0.75	proof_link
6981	Counting Measure is Measure	depends_on	734	Cardinality of Empty Set	0.75	proof_link
13445	Faulhaber's Formula	depends_on	18073	Translation of Index Variable of Summation	0.75	proof_link
22358	Point is Contained in Irreducible Component	depends_on	22359	Irreducible Subspace is Contained in Irreducible Component	0.75	proof_link
844	Set of Divisors of Integer	depends_on	842	Exponents of Primes in Prime Decomposition are Less iff Divisor	0.75	proof_link
6385	Group with One Sylow Subgroup per Prime Divisor is Solvable	depends_on	26178	Finite Group with One Sylow p-Subgroup per Prime Divisor is Isomorphic to Direct Product	0.75	proof_link
13973	Primitive of x over Power of Sine of a x	depends_on	13935	Primitive of Square of Cosecant of a x	0.75	proof_link
13979	Primitive of Reciprocal of Cosine of a x/Logarithm of Secant plus Tangent Form	depends_on	13494	Primitive of Function of Constant Multiple	0.75	proof_link
20047	Reversal formed by Repdigits of Base minus 1 by Addition and Multiplication	depends_on	20048	Power of Base minus 1 is Repdigit Base minus 1	0.75	proof_link
2177	Halting Problem is Not Algorithmically Decidable	depends_on	2078	Constant Function is Primitive Recursive	0.75	proof_link
24475	Multiplication by Imaginary Unit is Equivalent to Rotation through Right Angle	depends_on	12723	Product of Complex Numbers in Polar Form	0.75	proof_link
10871	Point Finite Set of Open Sets in Separable Space is Countable	depends_on	10872	Countable Union of Finite Sets is Countable	0.75	proof_link
26883	Graph of Real Injection in Coordinate Plane intersects Horizontal Line at most Once	depends_on	26874	Equation of Horizontal Line	0.75	proof_link
18450	Sum over k of r Choose k by -1^r-k by Polynomial/Proof 1	depends_on	18291	Sum over k of r Choose k by s+k Choose n by -1^r-k/Corollary	0.75	proof_link
9895	Ring Product preserves Inequalities on Positive Elements	depends_on	703	Properties of Ordered Ring	0.75	proof_link
4750	Boundary of Boundary of Subset of Indiscrete Space	depends_on	4749	Boundary of Subset of Indiscrete Space	0.75	proof_link
7916	Bijection has Left and Right Inverse/Proof 2	depends_on	325	Composite of Bijection with Inverse is Identity Mapping	0.75	proof_link
15332	Neighborhood Space induced by Topological Space induced by Neighborhood Space	depends_on	15323	Subset in Neighborhood Space is Neighborhood iff it contains Open Set	0.75	proof_link
2466	Existence of Solution of 2nd Order Linear ODE	depends_on	2467	Existence of Solution to System of First Order ODEs	0.75	proof_link
25107	Conjugate of Subgroup is Subgroup/Proof 1	depends_on	892	Power of Conjugate equals Conjugate of Power	0.75	proof_link
24573	Sum of Infinite Series of Product of nth Power of Cosine by nth Multiple of Cosine	depends_on	18073	Translation of Index Variable of Summation	0.75	proof_link
3932	Set of Subfields forms Complete Lattice	depends_on	25857	Intersection of Subfields Containing Subset is Smallest	0.75	proof_link
4377	Completed Riemann Zeta Function has Order One	depends_on	22481	Functional Equation for Riemann Zeta Function	0.75	proof_link
15263	Isometry of Metric Spaces is Homeomorphism	depends_on	15234	Isometry between Metric Spaces is Continuous	0.75	proof_link
9987	Power Set and Two-Valued Functions are Isomorphic Boolean Rings	depends_on	6871	Characteristic Function of Symmetric Difference	0.75	proof_link
13124	De Moivre's Formula/Negative Integer Index	depends_on	5916	Cosine of Zero is One	0.75	proof_link
5596	Euclidean Algorithm/Euclid's Proof	depends_on	5593	Coprimality Criterion	0.75	proof_link
12494	Power Series Expansion for Cosine Function	depends_on	5916	Cosine of Zero is One	0.75	proof_link
19463	Every Pseudoprime Element is Prime implies Lattice is Arithmetic	depends_on	19417	Arithmetic iff Way Below Relation is Multiplicative in Algebraic Lattice	0.75	proof_link
26259	Derivative of x^n by Bessel Function of the First Kind of Order n of x	depends_on	26258	Recurrence Formula for Bessel Function of the First Kind	0.75	proof_link
18126	Exponential of Real Number is Strictly Positive/Proof 3	depends_on	17920	Power of Positive Real Number is Positive/Rational Number	0.75	proof_link
7509	Additive Inverse in Vector Space is Unique	depends_on	7507	Vectors are Left Cancellable	0.75	proof_link
25122	Order of Alternating Group	depends_on	1028	Order of Symmetric Group	0.75	proof_link
14930	Common Ratio in Integer Geometric Sequence is Rational	depends_on	3990	Integers form Subdomain of Rationals	0.75	proof_link
790	Number of Elements in Partition	depends_on	759	Fundamental Principle of Counting	0.75	proof_link
14312	Primitive of Power of x by Inverse Hyperbolic Cosine of x over a	depends_on	14269	Derivative of Real Area Hyperbolic Cosine of x over a	0.75	proof_link
23849	Power Series Expansion for Exponential of Sine of x	depends_on	5916	Cosine of Zero is One	0.75	proof_link
6029	Second-Countable T3 Space is T5	depends_on	6960	Set Intersection Preserves Subsets	0.75	proof_link
5586	Similar Parallelogram on Half a Straight Line	depends_on	5585	Parallelogram Similar and in Same Angle has Same Diameter	0.75	proof_link
5731	Cayley-Dickson Construction from Real Star-Algebra is Commutative	depends_on	17915	Real Star-Algebra is Commutative	0.75	proof_link
17116	Legendre's Differential Equation/(1 - x^2) y'' - 2 x y' + 2 y = 0	depends_on	17113	Particular Solution to Homogeneous Linear Second Order ODE gives rise to Another	0.75	proof_link
25759	Property of Group Automorphism which Fixes Identity Only/Corollary 3	depends_on	25758	Property of Group Automorphism which Fixes Identity Only/Corollary 2	0.75	proof_link
13819	Primitive of x over square of a x squared plus b x plus c	depends_on	13817	Primitive of Reciprocal of square of a x squared plus b x plus c	0.75	proof_link
23139	Finite Irreducible Space is Path-Connected	depends_on	11797	Power Set of Finite Set is Finite	0.75	proof_link
10842	Cantor's Theorem/Proof 2	depends_on	10841	Non-Equivalence of Proposition and Negation/Formulation 1	0.75	proof_link
11638	Secant of Straight Angle	depends_on	11625	Secant of Angle plus Right Angle	0.75	proof_link
25909	Irreducible Elements of 5th Cyclotomic Ring	depends_on	25911	Elements of 5th Cyclotomic Ring with Field Norm 1	0.75	proof_link
4327	T3 Property is Preserved under Homeomorphism	depends_on	340	Preimage of Intersection under Mapping	0.75	proof_link
5758	Cardinals are Totally Ordered	depends_on	5757	Zermelo's Theorem (Set Theory)	0.75	proof_link
10291	Inversion Mapping is Isomorphism to Opposite Group	depends_on	10191	Involution is Permutation	0.75	proof_link
13799	Primitive of Root of a squared minus x squared cubed over x	depends_on	6	Power Rule for Derivatives	0.75	proof_link
10330	Equivalence of Definitions of Generalized Ordered Space/Definition 3 implies Definition 1	depends_on	10256	Upper Section is Convex	0.75	proof_link
26846	Power Series Expansion for Fresnel Cosine Integral Function	depends_on	12494	Power Series Expansion for Cosine Function	0.75	proof_link
23259	Subset of Indiscrete Space is Sequentially Compact	depends_on	4742	Sequence in Indiscrete Space converges to Every Point	0.75	proof_link
26793	Definite Integral to Infinity of x over Hyperbolic Sine of a x	depends_on	4176	Gamma Function Extends Factorial	0.75	proof_link
1289	Field of Prime Characteristic has Unique Prime Subfield	depends_on	5791	Field has Prime Subfield	0.75	proof_link
12727	Division of Complex Numbers in Polar Form	depends_on	12723	Product of Complex Numbers in Polar Form	0.75	proof_link
702	Diagonal Relation is Universally Congruent	depends_on	226	Diagonal Relation is Equivalence	0.75	proof_link
4489	Compactness Properties Preserved under Projection Mapping	depends_on	1701	Projection from Product Topology is Continuous	0.75	proof_link
14193	Primitive of Reciprocal of Square of p plus q by Hyperbolic Sine of a x	depends_on	6109	Difference of Squares of Hyperbolic Cosine and Sine	0.75	proof_link
9547	Equivalence of Definitions of Symmetric Difference/(2) iff (4)	depends_on	202	Set Difference as Intersection with Complement	0.75	proof_link
27062	Leibniz's Law for Sets	depends_on	6022	Axiom:Leibniz's Law	0.75	proof_link
19154	Pi as Sum of Odd Reciprocals Alternating in Sign in Pairs	depends_on	6	Power Rule for Derivatives	0.75	proof_link
23662	Fourier's Theorem/Lemma 3	depends_on	23661	Fourier's Theorem/Lemma 2	0.75	proof_link
24738	Additive Function is Odd Function	depends_on	24737	Additive Function of Zero is Zero	0.75	proof_link
21942	If Infimum of Filtered Subset belongs to Element of Sub-Basis then Subset and Element Intersect implies Infimum of Subset belongs to Closure of Subset	depends_on	17174	Filtered iff Finite Subsets have Lower Bounds	0.75	proof_link
13526	Primitive of Square of Hyperbolic Tangent Function	depends_on	9269	Primitive of Constant	0.75	proof_link
6812	Max Operation on Toset forms Semigroup	depends_on	25401	Max Operation is Associative	0.75	proof_link
