head_id	head_name	relation	tail_id	tail_name	confidence	source
22326	Definition:Iterated Binary Operation over Finite Set	generalizes	753	Definition:Summation	0.9	special_cases_section
22711	Definition:Inverse Image Presheaf	generalizes	22973	Definition:Restriction of Presheaf to Open Set	0.9	generalizations_section
2710	Definition:Continuous Mapping (Topology)	generalizes	2709	Definition:Continuous Real Function	0.9	generalizations_section
22285	Definition:Polynomial Algebra	generalizes	10541	Definition:Polynomial Ring	0.9	generalizations_section
4049	Definition:Radical of Ideal of Ring	generalizes	4056	Definition:Nilradical of Ring	0.9	special_cases_section
21411	Definition:Continued Fraction Expansion/Real Number	generalizes	23120	Definition:Continued Fraction Expansion of Laurent Series	0.9	generalizations_section
23576	Definition:Interval of Ordered Set	generalizes	865	Definition:Real Interval	0.9	generalizations_section
838	Definition:Composite Number	generalizes	2146	Definition:Positive Integer	0.9	special_cases_section
3918	Definition:Generated Ideal of Ring	generalizes	22980	Definition:Sum of Ideals of Ring	0.9	generalizations_section
3127	Probability of Occurrence of At Least One Independent Event	generalizes	3126	Definition:Occurrence of Event	0.95	corollaries_section
3929	Definition:Prime Ideal of Ring	generalizes	4536	Definition:Prime Element of Ring	0.9	special_cases_section
23104	Definition:Convolution of Mappings on Divisor-Finite Monoid	generalizes	4403	Definition:Dirichlet Convolution	0.9	generalizations_section
5631	Definition:Contravariant Functor	generalizes	5630	Definition:Inclusion-Reversing Mapping	0.9	generalizations_section
22316	Definition:Continuous Real Function at Point	generalizes	2709	Definition:Continuous Real Function	0.9	generalizations_section
2709	Definition:Continuous Real Function	generalizes	2712	Definition:Continuous Mapping (Metric Space)	0.9	generalizations_section
4050	Definition:Radical Ideal of Ring	generalizes	1917	Definition:Square-Free Integer	0.9	special_cases_section
22398	Definition:Multiple Pointed Set	generalizes	22395	Definition:Pointed Set	0.9	generalizations_section
22326	Definition:Iterated Binary Operation over Finite Set	generalizes	22327	Definition:Iterated Binary Operation over Set with Finite Support	0.9	generalizations_section
5630	Definition:Inclusion-Reversing Mapping	generalizes	5631	Definition:Contravariant Functor	0.9	generalizations_section
10542	Units of Ring of Polynomial Forms over Commutative Ring	generalizes	10543	Definition:Indeterminate (Polynomial Theory)	0.95	corollaries_section
4536	Definition:Prime Element of Ring	generalizes	837	Definition:Prime Number	0.9	generalizations_section
6185	Definition:Strictly Well-Founded Relation	generalizes	2210	Definition:Well-Founded Ordered Set	0.9	generalizations_section
6420	Definition:Image of Mapping	generalizes	16091	Definition:Direct Image Mapping/Mapping	0.9	generalizations_section
2868	Definition:Real Number Line	generalizes	2709	Definition:Continuous Real Function	0.9	generalizations_section
6413	Definition:Image (Set Theory)/Relation	generalizes	6420	Definition:Image of Mapping	0.9	special_cases_section
574	Definition:Ringoid (Abstract Algebra)	generalizes	578	Definition:Ring (Abstract Algebra)	0.9	generalizations_section
22327	Definition:Iterated Binary Operation over Set with Finite Support	generalizes	22223	Definition:Summation over Set with Finite Support	0.9	special_cases_section
16096	Definition:Inverse Image Mapping/Relation	generalizes	22782	Definition:Inverse Image Mapping of Mapping	0.9	special_cases_section
6872	Vector Subspace of Real Vector Space	generalizes	7785	Definition:Non-Empty Set	0.95	corollaries_section
1982	Definition:Fractional Part	generalizes	2926	Definition:Modulo Operation	0.9	generalizations_section
130	Definition:Algebraic Structure	generalizes	976	Definition:Group Direct Product	0.9	generalizations_section
11911	Definition:Continued Fraction/Finite	generalizes	1964	Definition:Simple Finite Continued Fraction	0.9	special_cases_section
23787	Definition:Noncommutative Local Ring	generalizes	23526	Definition:Local Ring/Commutative	0.9	generalizations_section
1697	Definition:Complex Modulus	generalizes	22507	Definition:Absolute Value of Real Number	0.9	special_cases_section
2709	Definition:Continuous Real Function	generalizes	2710	Definition:Continuous Mapping (Topology)	0.9	generalizations_section
578	Definition:Ring (Abstract Algebra)	generalizes	574	Definition:Ringoid (Abstract Algebra)	0.9	generalizations_section
22973	Definition:Restriction of Presheaf to Open Set	generalizes	22711	Definition:Inverse Image Presheaf	0.9	generalizations_section
798	Definition:Absolute Value	generalizes	22509	Complex Modulus of Real Number equals Absolute Value	0.9	generalizations_section
3946	Definition:Generator of Module	generalizes	22446	Definition:Generator of Ideal of Ring	0.9	generalizations_section
707	Definition:Field of Quotients	generalizes	4466	Definition:Localization of Ring	0.9	generalizations_section
2709	Definition:Continuous Real Function	generalizes	1706	Definition:Usual Metric	0.9	generalizations_section
16092	Definition:Direct Image Mapping/Relation	generalizes	6416	Definition:Image of Relation	0.9	generalizations_section
23511	Definition:Inclusion-Preserving Mapping	generalizes	5893	Definition:Increasing Mapping	0.9	generalizations_section
3127	Probability of Occurrence of At Least One Independent Event	generalizes	3138	Definition:Outcome	0.95	corollaries_section
5632	Definition:Decreasing Mapping	generalizes	5630	Definition:Inclusion-Reversing Mapping	0.9	generalizations_section
